20110102a,김범준展 / KIMBEONJUN / 金範埈 / mixed media,with nothing,solo exhibition,김범준,무제,현수막 실사출력,140×90cm,2011,https://neolook.com/archives/2011010204a.jpg
20110104f,이정아_장보윤展,연상하는 이미지,exhibition,장보윤,임무-장면 3,피그먼트 프린트,45×64cm,2010,https://neolook.com/archives/2011010406f.jpg
20110104h,로리 킴展 / Lorie Kim / installation,Secret Dwelling ,solo exhibition,로리 킴,A Fairy Home, 천 솜 나무 혼합재료 가변설치,99×127×88cm,2010,https://neolook.com/archives/2011010401h.jpg
20110104h,로리 킴展 / Lorie Kim / installation,Secret Dwelling ,solo exhibition,로리 킴,A Fairy Plane, 노방천,140×120cm,2010,https://neolook.com/archives/2011010402h.jpg
20110104h,로리 킴展 / Lorie Kim / installation,Secret Dwelling ,solo exhibition,로리 킴,A Journey in a Reverie,노방천 솜 욕조 가변설치,76×122×76cm,2010,https://neolook.com/archives/2011010403h.jpg
20110104h,로리 킴展 / Lorie Kim / installation,Secret Dwelling ,solo exhibition,로리 킴,Home for Comets,노방천 혼합재료 가변설치,69×260×260cm,2010,https://neolook.com/archives/2011010405h.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이#1,모눈종이에 연필,30×41.8cm,2008,https://neolook.com/archives/2011010501a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이 #3-1,리넨에 유채,72.5×91cm,2009,https://neolook.com/archives/2011010502a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이#6,리넨에 유채,130×162cm,2009,https://neolook.com/archives/2011010503a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이#9-2,리넨에 유채,80×116.5cm,2010,https://neolook.com/archives/2011010504a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이#9-2,리넨에 유채,65×53cm,2009,https://neolook.com/archives/2011010505a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,폭력의 놀이#10,리넨에 유채,260×162cm,2010,https://neolook.com/archives/2011010506a.jpg
20110105a,김선휘展 / KIMSUNHWEE / 金善輝 / painting,폭력의 놀이_Play of Violence,solo exhibition,김선휘,보이지 않는 적-삼면화,리넨에 유채,각 190×130cm,2010,https://neolook.com/archives/2011010507a.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,김은아,Camuflage,혼합재료,72.5×90.7cm,2010,https://neolook.com/archives/2011010501b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,김은아,Camuflage,혼합재료,80.3×116.8cm,2010,https://neolook.com/archives/2011010502b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,박성란,Allegory-서로다른이야기100501,종이에 콘테,132×161cm,2010,https://neolook.com/archives/2011010504b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,박준호,심장의 나무,종이에 석판인쇄,81×58cm,2009,https://neolook.com/archives/2011010505b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,박준호,Greed,한지에 유채,68.5×48cm,2010,https://neolook.com/archives/2011010506b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,박준호,Pride,한지에 유채,68.5×48cm,2010,https://neolook.com/archives/2011010507b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,송영실,숨바꼭질,목판에 부조,130.3×89.4cm,2010,https://neolook.com/archives/2011010508b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,윤옥례,Cube in Remembrance 302,캔버스에 아크릴채색,80×130cm,2010 ,https://neolook.com/archives/2011010509b.jpg
20110105b,울산대학교대학원 회화과 기획展,뭐꼬?!,exhibition,정지현,we run to pattern,혼합재료,50×72.7cm,2010,https://neolook.com/archives/2011010510b.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,실마리,캔버스에 유채 아크릴 채색,194×260cm,2010,https://neolook.com/archives/2011010501c.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,재현된 무대Ⅰ,캔버스에 유채 아크릴 채색,181×223cm,2010,https://neolook.com/archives/2011010502c.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,재현된 무대Ⅱ,캔버스에 유채아크릴 채색,181×223cm,2010,https://neolook.com/archives/2011010503c.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,마지막 소통,캔버스에 유채 아크릴 채색,130.3×194cm,2010,https://neolook.com/archives/2011010504c.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,부유하는 나의 도시,캔버스에 아크릴 채색,73×73cm,2010,https://neolook.com/archives/2011010506c.jpg
20110105c,김효숙展 / KIMHYOSUK / 金孝淑 / painting,부유하는 나의 도시Ⅱ My Floating CityⅡ,solo exhibition,김효숙,부유하는 나의 도시,캔버스에 아크릴 채색,100×80.3cm,2010,https://neolook.com/archives/2011010507c.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,부안,울트라크롬 프린트,90×135cm,2010,https://neolook.com/archives/2011010501d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,대전,울트라크롬 프린트,40×60cm,2010,https://neolook.com/archives/2011010502d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,부여,울트라크롬 프린트,40×60cm,2010,https://neolook.com/archives/2011010503d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,함열,울트라크롬 프린트,40×60cm,2009,https://neolook.com/archives/2011010504d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,흥덕,울트라크롬 프린트,40×60cm,2009,https://neolook.com/archives/2011010505d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,봉동,울트라크롬 프린트,90×135cm,2009,https://neolook.com/archives/2011010506d.jpg
20110105d,안미선展 / ANMISUN / 安美善 / photography,길로 나온 소나무,solo exhibition,안미선,남원,울트라크롬 프린트,40×60cm,2010,https://neolook.com/archives/2011010507d.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,공정현,Trouble series # kim jun hee,디지털 프린트,190×150cm,2010,https://neolook.com/archives/2011010502f.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,김숭열,들여다보기 오혜숙,디지털 프린트,82×210cm,2010,https://neolook.com/archives/2011010503f.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,김스민,my breath is free and easy,람다 프린트,60×90cm,010,https://neolook.com/archives/2011010504f.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,서명희,담 시리즈,디지털 프린트,100.8×100.8cm,2010,https://neolook.com/archives/2011010505f.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,원가희,운명,디지털 프린트,63.5×45.5cm,2010,https://neolook.com/archives/2011010506f.jpg
20110105f,(Corea Artist is You)展,2011 CoA is U,exhibition,윤태일,채취,디지털 프린트,82×100cm,2010,https://neolook.com/archives/2011010507f.jpg
20110105g,2011_0105 ▶ 2011_0118,국민대학교 일반대학원 회화전공 석사학위 청구展,other,이승연,lung ago,캔버스에 유채,92×117cm,2010,https://neolook.com/archives/2011010504g.jpg
20110105g,2011_0105 ▶ 2011_0118,국민대학교 일반대학원 회화전공 석사학위 청구展,other,이승연,the glow in Boston,캔버스에 유채,130×193cm,2010,https://neolook.com/archives/2011010505g.jpg
20110105g,2011_0105 ▶ 2011_0118,국민대학교 일반대학원 회화전공 석사학위 청구展,other,이은향,나비넥타이 달마시안,캔버스에 유채,91×116.8cm,2010 ,https://neolook.com/archives/2011010506g.jpg
20110105g,2011_0105 ▶ 2011_0118,국민대학교 일반대학원 회화전공 석사학위 청구展,other,이은향,안경물고기,캔버스에 유채,72.7×116.8cm,2010,https://neolook.com/archives/2011010507g.jpg
20110105g,2011_0105 ▶ 2011_0118,국민대학교 일반대학원 회화전공 석사학위 청구展,other,이은향,쥐 통조림,캔버스에 유채,97×130.7cm,2010 ,https://neolook.com/archives/2011010508g.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,안혜림,Banana,캔버스에 아크릴채색,33.3×53cm,2010,https://neolook.com/archives/2011010502h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,안혜림,Banana,캔버스에 아크릴채색,65.1×90.9cm,2010,https://neolook.com/archives/2011010503h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,최순민,My father's house,혼합재료,46×56cm,2010,https://neolook.com/archives/2011010506h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,김재선,꿈꾸는 방랑자,닥에 혼합기법,50×50cm,2010,https://neolook.com/archives/2011010507h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,김재선,꿈꾸는 방랑자,닥에 혼합기법,50×50cm,2010,https://neolook.com/archives/2011010508h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,신혜연,Mental mapⅢ,라인테이프 스틸보드에 잉크,23×23cm,2010,https://neolook.com/archives/2011010504h.jpg
20110105h,2011_0105 ▶ 2011_0111,HAPPY NEW YEAR,other,신혜연,Mental mapⅢ,라인테이프 스틸보드에 잉크,23×23cm,2010,https://neolook.com/archives/2011010505h.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,박정현,당신에게,인터렉티브 인스톨레이션,가변크기,2011,https://neolook.com/archives/2011010603a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,유진숙,기도하는 남자,캔버스에 연탄재 아크릴채색,54×34cm,2010,https://neolook.com/archives/2011010604a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,응웬 티 쩌우장,Tears,캔버스에 유채,90×90cm,2010,https://neolook.com/archives/2011010605a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,윤가현,An empty room,단채널 비디오,00:01:47,2011,https://neolook.com/archives/2011010606a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,송유림,후인마이,실크 위에 자수와 잉크,가변크기,2011,https://neolook.com/archives/2011010608a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other, 심혜정,Safe 1,단채널 비디오,00:13:40,2009,https://neolook.com/archives/2011010609a.jpg
20110106a,2011_0106 ▶ 2011_0215 / 첫째주 월요일 휴관,후인마이의 편지–다문화사회의 한국인을 위한 그림 소설,other,박혜원,Self Portrait,디지털 프린트,6×6inch,2008,https://neolook.com/archives/2011010610a.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,사랑 그리운 밤,아카이벌 피그먼트 프린트,76×102cm,2005,https://neolook.com/archives/2011010601b.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,꿈꾸는 비상,젤라틴 실버 프린트,40×51cm,2005,https://neolook.com/archives/2011010602b.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,문을 연 바다,아카이벌 피그먼트 프린트,76×102cm,2006,https://neolook.com/archives/2011010603b.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,푸른 가슴으로,젤라틴 실버 프린트,28×35cm,2006,https://neolook.com/archives/2011010604b.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,은모래 빛나던,젤라틴 실버 프린트,40×51cm,2003,https://neolook.com/archives/2011010605b.jpg
20110106b,원덕희展 / WONDEOKHEE / 元德禧 / photography,바다*** 나는 누구 인가,solo exhibition,원덕희,허리 굽은 바람,아카이벌 피그먼트 프린트,51×76cm,2006,https://neolook.com/archives/2011010606b.jpg
20110106c,임세종展 / LIMSEJONG / 林世宗 / painting,Assimilate,solo exhibition,임세종,assimilate-해운대,장지에 분채,72×116cm,2010,https://neolook.com/archives/2011010602c.jpg
20110106c,임세종展 / LIMSEJONG / 林世宗 / painting,Assimilate,solo exhibition,임세종,assimilate-숭례문,장지에 분채,73×116cm,2010,https://neolook.com/archives/2011010603c.jpg
20110106c,임세종展 / LIMSEJONG / 林世宗 / painting,Assimilate,solo exhibition,임세종,assimilate-종로,장지에 분채,43×80cm,2010,https://neolook.com/archives/2011010604c.jpg
